task	method	budget	obs	seed
gaussian_linear	rej_ra	10000	4	763777542
gaussian_linear	smc	10000	4	963751247
gaussian_linear	smc_ra	10000	4	453963765
gaussian_linear	rej	10000	5	1403818
gaussian_linear	rej_ra	10000	5	843775651
gaussian_linear	smc	10000	5	643801946
gaussian_linear	smc_ra	10000	5	1648034662
gaussian_linear	rej	10000	6	974100184
gaussian_linear	rej_ra	10000	6	1893079601
gaussian_linear	smc	10000	6	1108685178
gaussian_linear	smc_ra	10000	6	309029834
gaussian_linear	rej	10000	7	872101759
gaussian_linear	rej_ra	10000	7	1714473592
gaussian_linear	smc	10000	7	498868015
gaussian_linear	smc_ra	10000	7	207031409
gaussian_linear	rej	10000	8	880385365
gaussian_linear	rej_ra	10000	8	38013532
gaussian_linear	smc	10000	8	237987237
gaussian_linear	smc_ra	10000	8	1894967018
gaussian_linear	rej	10000	9	727167828
gaussian_linear	rej_ra	10000	9	1569539661
gaussian_linear	smc	10000	9	1369565956
gaussian_linear	smc_ra	10000	9	922270652
gaussian_linear	rej	10000	10	1374830599
gaussian_linear	rej_ra	10000	10	1167315591
gaussian_linear	smc	10000	10	251935659
gaussian_linear	smc_ra	10000	10	39900949
gaussian_linear	rej	100000	1	1287889294
gaussian_linear	rej_ra	100000	1	445517461
gaussian_linear	smc	100000	1	520340261
gaussian_linear	smc_ra	100000	1	1948769272
gaussian_linear	rej	100000	2	669175202
gaussian_linear	rej_ra	100000	2	1511547035
gaussian_linear	smc	100000	2	1581658166
gaussian_linear	smc_ra	100000	2	788085980
gaussian_linear	rej	100000	3	1432823225
gaussian_linear	rej_ra	100000	3	1409548610
gaussian_linear	smc	100000	3	1391038202
gaussian_linear	smc_ra	100000	3	1905716277
gaussian_linear	rej	100000	4	174729968
gaussian_linear	rej_ra	100000	4	382244976
gaussian_linear	smc	100000	4	710960225
gaussian_linear	smc_ra	100000	4	1701836916
gaussian_linear	rej	100000	5	562125284
gaussian_linear	rej_ra	100000	5	1719753451
gaussian_linear	smc	100000	5	1246104271
gaussian_linear	smc_ra	100000	5	674533282
gaussian_linear	rej	100000	6	1045427909
gaussian_linear	rej_ra	100000	6	837383748
gaussian_linear	smc	100000	6	1144105846
gaussian_linear	smc_ra	100000	6	572534857
gaussian_linear	rej	100000	7	707059215
gaussian_linear	rej_ra	100000	7	135312620
gaussian_linear	smc	100000	7	116802212
gaussian_linear	smc_ra	100000	7	1179952267
gaussian_linear	rej	100000	8	809057640
gaussian_linear	rej_ra	100000	8	1966685807
gaussian_linear	smc	100000	8	1985196215
gaussian_linear	smc_ra	100000	8	427600926
gaussian_linear	rej	100000	9	1836361274
gaussian_linear	rej_ra	100000	9	1006010561
gaussian_linear	smc	100000	9	1102826512
gaussian_linear	smc_ra	100000	9	1400297292
gaussian_linear	rej	100000	10	1771191919
gaussian_linear	rej_ra	100000	10	111619738
gaussian_linear	smc	100000	10	1869869856
gaussian_linear	smc_ra	100000	10	1298298867
gaussian_linear_uniform	rej	1000	1	1744920292
gaussian_linear_uniform	rej_ra	1000	1	626282657
gaussian_linear_uniform	smc	1000	1	1083151632
gaussian_linear_uniform	smc_ra	1000	1	1079849942
gaussian_linear_uniform	rej	1000	2	991934960
gaussian_linear_uniform	rej_ra	1000	2	110572595
gaussian_linear_uniform	smc	1000	2	524401561
gaussian_linear_uniform	smc_ra	1000	2	977851517
gaussian_linear_uniform	rej	1000	3	615618233
gaussian_linear_uniform	rej_ra	1000	3	1496980598
gaussian_linear_uniform	smc	1000	3	1406771264
gaussian_linear_uniform	smc_ra	1000	3	1950547883
gaussian_linear_uniform	rej	1000	4	1497987936
gaussian_linear_uniform	rej_ra	1000	4	255506526
gaussian_linear_uniform	smc	1000	4	1330083988
gaussian_linear_uniform	smc_ra	1000	4	151450544
gaussian_linear_uniform	rej	1000	5	470684302
gaussian_linear_uniform	rej_ra	1000	5	357504951
gaussian_linear_uniform	smc	1000	5	277469205
gaussian_linear_uniform	smc_ra	1000	5	1805613952
gaussian_linear_uniform	rej	1000	6	368685877
gaussian_linear_uniform	rej_ra	1000	6	1250048242
gaussian_linear_uniform	smc	1000	6	1250165571
gaussian_linear_uniform	smc_ra	1000	6	1703615527
gaussian_linear_uniform	rej	1000	7	1341382243
gaussian_linear_uniform	rej_ra	1000	7	222744608
gaussian_linear_uniform	smc	1000	7	132535274
gaussian_linear_uniform	smc_ra	1000	7	398382900
gaussian_linear_uniform	rej	1000	8	223751946
gaussian_linear_uniform	rej_ra	1000	8	1105114311
gaussian_linear_uniform	smc	1000	8	604319978
gaussian_linear_uniform	smc_ra	1000	8	1425686534
gaussian_linear_uniform	rej	1000	9	1196448312
gaussian_linear_uniform	rej_ra	1000	9	1631740941
gaussian_linear_uniform	smc	1000	9	1003233215
gaussian_linear_uniform	smc_ra	1000	9	543316831
gaussian_linear_uniform	rej	1000	10	1094449887
gaussian_linear_uniform	rej_ra	1000	10	1975812252
gaussian_linear_uniform	smc	1000	10	1098765212
gaussian_linear_uniform	smc_ra	1000	10	429379537
gaussian_linear_uniform	rej	10000	1	1293348616
gaussian_linear_uniform	rej_ra	10000	1	1588013751
gaussian_linear_uniform	smc	10000	1	310018287
gaussian_linear_uniform	smc_ra	10000	1	676437861
gaussian_linear_uniform	rej	10000	2	410978913
gaussian_linear_uniform	rej_ra	10000	2	513984676
gaussian_linear_uniform	smc	10000	2	1337321921
gaussian_linear_uniform	smc_ra	10000	2	60417391
gaussian_linear_uniform	rej	10000	3	1196574280
gaussian_linear_uniform	rej_ra	10000	3	1443079820
gaussian_linear_uniform	smc	10000	3	1439320346
gaussian_linear_uniform	smc_ra	10000	3	1547135802
gaussian_linear_uniform	rej	10000	4	1540280972
gaussian_linear_uniform	rej_ra	10000	4	658918607
gaussian_linear_uniform	smc	10000	4	517744150
gaussian_linear_uniform	smc_ra	10000	4	205351322
gaussian_linear_uniform	rej	10000	5	67272221
gaussian_linear_uniform	rej_ra	10000	5	313777761
gaussian_linear_uniform	smc	10000	5	1584254277
gaussian_linear_uniform	smc_ra	10000	5	1402201871
gaussian_linear_uniform	rej	10000	6	1685214903
gaussian_linear_uniform	rej_ra	10000	6	1788220666
gaussian_linear_uniform	smc	10000	6	23298916
gaussian_linear_uniform	smc_ra	10000	6	1300203446
gaussian_linear_uniform	rej	10000	7	1787213328
gaussian_linear_uniform	rej_ra	10000	7	905850963
gaussian_linear_uniform	smc	10000	7	713556336
gaussian_linear_uniform	smc_ra	10000	7	272899812
gaussian_linear_uniform	rej	10000	8	814516962
gaussian_linear_uniform	rej_ra	10000	8	1933154597
gaussian_linear_uniform	smc	10000	8	893996857
gaussian_linear_uniform	smc_ra	10000	8	1155269515
gaussian_linear_uniform	rej	10000	9	793036231
gaussian_linear_uniform	rej_ra	10000	9	35153022
gaussian_linear_uniform	smc	10000	9	858490267
gaussian_linear_uniform	smc_ra	10000	9	127965881
gaussian_linear_uniform	rej	10000	10	691037806
gaussian_linear_uniform	rej_ra	10000	10	1062456656
gaussian_linear_uniform	smc	10000	10	749062926
gaussian_linear_uniform	smc_ra	10000	10	25967456
gaussian_linear_uniform	rej	100000	1	1762347239
gaussian_linear_uniform	rej_ra	100000	1	60924143
gaussian_linear_uniform	smc	100000	1	836004231
gaussian_linear_uniform	smc_ra	100000	1	710545815
gaussian_linear_uniform	rej	100000	2	339651188
gaussian_linear_uniform	rej_ra	100000	2	1546629050
gaussian_linear_uniform	smc	100000	2	1265994196
gaussian_linear_uniform	smc_ra	100000	2	262150553
gaussian_linear_uniform	rej	100000	3	633045180
gaussian_linear_uniform	rej_ra	100000	3	205858074
gaussian_linear_uniform	smc	100000	3	691070300
gaussian_linear_uniform	smc_ra	100000	3	1839847874
gaussian_linear_uniform	rej	100000	4	1468953247
gaussian_linear_uniform	rej_ra	100000	4	1401695119
gaussian_linear_uniform	smc	100000	4	589071875
gaussian_linear_uniform	smc_ra	100000	4	1767705319
gaussian_linear_uniform	rej	100000	5	488111249
gaussian_linear_uniform	rej_ra	100000	5	1335160133
gaussian_linear_uniform	smc	100000	5	1512926552
gaussian_linear_uniform	smc_ra	100000	5	1984781805
gaussian_linear_uniform	rej	100000	6	1613887178
gaussian_linear_uniform	rej_ra	100000	6	272393060
gaussian_linear_uniform	smc	100000	6	540230186
gaussian_linear_uniform	smc_ra	100000	6	86780230
gaussian_linear_uniform	rej	100000	7	1358809190
gaussian_linear_uniform	rej_ra	100000	7	1480094064
gaussian_linear_uniform	smc	100000	7	1657860483
gaussian_linear_uniform	smc_ra	100000	7	1114083864
gaussian_linear_uniform	rej	100000	8	743189237
gaussian_linear_uniform	rej_ra	100000	8	127459129
gaussian_linear_uniform	smc	100000	8	1314835885
gaussian_linear_uniform	smc_ra	100000	8	493469329
gaussian_linear_uniform	rej	100000	9	1860819534
gaussian_linear_uniform	rej_ra	100000	9	25460704
gaussian_linear_uniform	smc	100000	9	787162542
gaussian_linear_uniform	smc_ra	100000	9	1375839032
gaussian_linear_uniform	rej	100000	10	888123168
gaussian_linear_uniform	rej_ra	100000	10	998157070
gaussian_linear_uniform	smc	100000	10	185533826
gaussian_linear_uniform	smc_ra	100000	10	1361016220
gaussian_mixture	rej	1000	1	134589188
gaussian_mixture	rej_ra	1000	1	381094728
gaussian_mixture	smc	1000	1	1727742345
gaussian_mixture	smc_ra	1000	1	1144975194
gaussian_mixture	rej	1000	2	1617897936
gaussian_mixture	rej_ra	1000	2	736535571
gaussian_mixture	smc	1000	2	1244954023
gaussian_mixture	smc_ra	1000	2	462577999
gaussian_mixture	rej	1000	3	1719896361
gaussian_mixture	rej_ra	1000	3	838533996
gaussian_mixture	smc	1000	3	857044404
gaussian_mixture	smc_ra	1000	3	274277253
gaussian_mixture	rej	1000	4	747199995
gaussian_mixture	rej_ra	1000	4	1865837630
gaussian_mixture	smc	1000	4	115651964
gaussian_mixture	smc_ra	1000	4	1333275940
gaussian_mixture	rej	1000	5	860353198
gaussian_mixture	rej_ra	1000	5	1967836055
gaussian_mixture	smc	1000	5	1986346463
gaussian_mixture	smc_ra	1000	5	215645643
gaussian_mixture	rej	1000	6	1742722901
gaussian_mixture	rej_ra	1000	6	1989228441
gaussian_mixture	smc	1000	6	1103976760
gaussian_mixture	smc_ra	1000	6	1188342009
gaussian_mixture	rej	1000	7	994132351
gaussian_mixture	rej_ra	1000	7	112769986
gaussian_mixture	smc	1000	7	131280394
gaussian_mixture	smc_ra	1000	7	1086343584
gaussian_mixture	rej	1000	8	613420842
gaussian_mixture	rej_ra	1000	8	1140073620
gaussian_mixture	smc	1000	8	233278819
gaussian_mixture	smc_ra	1000	8	59039950
gaussian_mixture	rej	1000	9	123434410
gaussian_mixture	rej_ra	1000	9	1242072045
gaussian_mixture	smc	1000	9	1260582453
gaussian_mixture	smc_ra	1000	9	941409653
gaussian_mixture	rej	1000	10	468486911
gaussian_mixture	rej_ra	1000	10	1349849276
gaussian_mixture	smc	1000	10	378212750
gaussian_mixture	smc_ra	1000	10	1914106019
gaussian_mixture	rej	10000	1	80688410
gaussian_mixture	rej_ra	10000	1	962050775
gaussian_mixture	smc	10000	1	943540367
gaussian_mixture	smc_ra	10000	1	1548387275
gaussian_mixture	rej	10000	2	21310017
gaussian_mixture	rej_ra	10000	2	1139947652
gaussian_mixture	smc	10000	2	841541942
gaussian_mixture	smc_ra	10000	2	575690909
gaussian_mixture	rej	10000	3	951386351
gaussian_mixture	rej_ra	10000	3	1832748716
gaussian_mixture	smc	10000	3	1814238308
gaussian_mixture	smc_ra	10000	3	677689334
gaussian_mixture	rej	10000	4	166243948
gaussian_mixture	rej_ra	10000	4	269249711
gaussian_mixture	smc	10000	4	696608011
gaussian_mixture	smc_ra	10000	4	1279375162
gaussian_mixture	rej	10000	5	806452420
gaussian_mixture	rej_ra	10000	5	1687814785
gaussian_mixture	smc	10000	5	40247241
gaussian_mixture	smc_ra	10000	5	822623265
gaussian_mixture	rej	10000	6	1295546007
gaussian_mixture	rej_ra	10000	6	414183642
gaussian_mixture	smc	10000	6	1567305952
gaussian_mixture	smc_ra	10000	6	784929928
gaussian_mixture	rej	10000	7	1397544432
gaussian_mixture	rej_ra	10000	7	558512726
gaussian_mixture	smc	10000	7	534692475
gaussian_mixture	smc_ra	10000	7	1951925324
gaussian_mixture	rej	10000	8	559520064
gaussian_mixture	rej_ra	10000	8	1543485701
gaussian_mixture	smc	10000	8	1422372021
gaussian_mixture	smc_ra	10000	8	639995997
gaussian_mixture	rej	10000	9	1542478363
gaussian_mixture	rej_ra	10000	9	661115998
gaussian_mixture	smc	10000	9	679626406
gaussian_mixture	smc_ra	10000	9	96859255
gaussian_mixture	rej	10000	10	569781997
gaussian_mixture	rej_ra	10000	10	311580370
gaussian_mixture	smc	10000	10	293069962
gaussian_mixture	smc_ra	10000	10	1510693938
gaussian_mixture	rej	100000	1	1418888224
gaussian_mixture	rej_ra	100000	1	1409301029
gaussian_mixture	smc	100000	1	1014868092
gaussian_mixture	smc_ra	100000	1	1597635243
gaussian_mixture	rej	100000	2	301257927
gaussian_mixture	rej_ra	100000	2	1182620292
gaussian_mixture	smc	100000	2	1721987160
gaussian_mixture	smc_ra	100000	2	480004946
gaussian_mixture	rej	100000	3	199259502
gaussian_mixture	rej_ra	100000	3	1554234960
gaussian_mixture	smc	100000	3	839617457
gaussian_mixture	smc_ra	100000	3	1452701312
gaussian_mixture	rej	100000	4	1171955868
gaussian_mixture	rej_ra	100000	4	53318233
gaussian_mixture	smc	100000	4	1866921091
gaussian_mixture	smc_ra	100000	4	1350702887
gaussian_mixture	rej	100000	5	930042559
gaussian_mixture	rej_ra	100000	5	48680194
gaussian_mixture	smc	100000	5	1968919516
gaussian_mixture	smc_ra	100000	5	751295540
gaussian_mixture	rej	100000	6	1027021937
gaussian_mixture	rej_ra	100000	6	1801167316
gaussian_mixture	smc	100000	6	1638633677
gaussian_mixture	smc_ra	100000	6	1205768956
gaussian_mixture	rej	100000	7	925023512
gaussian_mixture	rej_ra	100000	7	1806385877
gaussian_mixture	smc	100000	7	113853447
gaussian_mixture	smc_ra	100000	7	896229471
gaussian_mixture	rej	100000	8	1176974915
gaussian_mixture	rej_ra	100000	8	779082243
gaussian_mixture	smc	100000	8	1493699746
gaussian_mixture	smc_ra	100000	8	76466897
gaussian_mixture	rej	100000	9	204278549
gaussian_mixture	rej_ra	100000	9	677083818
gaussian_mixture	smc	100000	9	1243155506
gaussian_mixture	smc_ra	100000	9	25531530
gaussian_mixture	rej	100000	10	1321908846
gaussian_mixture	rej_ra	100000	10	1649780184
gaussian_mixture	smc	100000	10	364397687
gaussian_mixture	smc_ra	100000	10	1931532966
bernoulli_glm	rej	1000	1	1474022344
bernoulli_glm	rej_ra	1000	1	316394177
bernoulli_glm	smc	1000	1	1031011680
bernoulli_glm	smc_ra	1000	1	265742799
bernoulli_glm	rej	1000	2	627976083
bernoulli_glm	rej_ra	1000	2	214395752
bernoulli_glm	smc	1000	2	1705843572
bernoulli_glm	smc_ra	1000	2	1293046433
bernoulli_glm	rej	1000	3	729974508
bernoulli_glm	rej_ra	1000	3	1538091372
bernoulli_glm	smc	1000	3	886077749
bernoulli_glm	smc_ra	1000	3	1395044858
bernoulli_glm	rej	1000	4	1227089988
bernoulli_glm	rej_ra	1000	4	69461821
bernoulli_glm	smc	1000	4	1850777503
bernoulli_glm	smc_ra	1000	4	422348492
bernoulli_glm	rej	1000	5	874908439
bernoulli_glm	rej_ra	1000	5	32536606
bernoulli_glm	smc	1000	5	1756775690
bernoulli_glm	smc_ra	1000	5	1539978789
bernoulli_glm	rej	1000	6	1902212073
bernoulli_glm	rej_ra	1000	6	940159762
bernoulli_glm	smc	1000	6	1654777265
bernoulli_glm	smc_ra	1000	6	67574404
bernoulli_glm	rej	1000	7	4210498
bernoulli_glm	rej_ra	1000	7	1822529465
bernoulli_glm	smc	1000	7	97709859
bernoulli_glm	smc_ra	1000	7	669280848
bernoulli_glm	rej	1000	8	1952853998
bernoulli_glm	rej_ra	1000	8	795225831
bernoulli_glm	smc	1000	8	1509843334
bernoulli_glm	smc_ra	1000	8	938272345
bernoulli_glm	rej	1000	9	149144429
bernoulli_glm	rej_ra	1000	9	1306772596
bernoulli_glm	smc	1000	9	482539700
bernoulli_glm	smc_ra	1000	9	814214779
bernoulli_glm	rej	1000	10	1458408764
bernoulli_glm	rej_ra	1000	10	1665923772
bernoulli_glm	smc	1000	10	380541275
bernoulli_glm	smc_ra	1000	10	793338414
bernoulli_glm	rej	10000	1	1070610263
bernoulli_glm	rej_ra	10000	1	1912982096
bernoulli_glm	smc	10000	1	7257228
bernoulli_glm	smc_ra	10000	1	1402282791
bernoulli_glm	rej	10000	2	1952979966
bernoulli_glm	rej_ra	10000	2	1839505028
bernoulli_glm	smc	10000	2	1124887525
bernoulli_glm	smc_ra	10000	2	1570413577
bernoulli_glm	rej	10000	3	925676332
bernoulli_glm	rej_ra	10000	3	1941503453
bernoulli_glm	smc	10000	3	1847808843
bernoulli_glm	smc_ra	10000	3	452783280
bernoulli_glm	rej	10000	4	1176322095
bernoulli_glm	rej_ra	10000	4	1666049740
bernoulli_glm	smc	10000	4	254189584
bernoulli_glm	smc_ra	10000	4	1649215147
bernoulli_glm	rej	10000	5	1796374273
bernoulli_glm	rej_ra	10000	5	638746106
bernoulli_glm	smc	10000	5	1353363609
bernoulli_glm	smc_ra	10000	5	676518781
bernoulli_glm	rej	10000	6	678743976
bernoulli_glm	rej_ra	10000	6	1521115809
bernoulli_glm	smc	10000	6	399123515
bernoulli_glm	smc_ra	10000	6	778517206
bernoulli_glm	rej	10000	7	1651440342
bernoulli_glm	rej_ra	10000	7	1215739443
bernoulli_glm	smc	10000	7	1208429678
bernoulli_glm	smc_ra	10000	7	1178547290
bernoulli_glm	rej	10000	8	1549441917
bernoulli_glm	rej_ra	10000	8	391813750
bernoulli_glm	smc	10000	8	1528425574
bernoulli_glm	smc_ra	10000	8	923451137
bernoulli_glm	rej	10000	9	552556510
bernoulli_glm	rej_ra	10000	9	345041502
bernoulli_glm	smc	10000	9	79127619
bernoulli_glm	smc_ra	10000	9	684102056
bernoulli_glm	rej	10000	10	1579860144
bernoulli_glm	rej_ra	10000	10	246879819
bernoulli_glm	smc	10000	10	1673359505
bernoulli_glm	smc_ra	10000	10	52753196
bernoulli_glm	rej	100000	1	578327631
bernoulli_glm	rej_ra	100000	1	1248412332
bernoulli_glm	smc	100000	1	759384077
bernoulli_glm	smc_ra	100000	1	981443763
bernoulli_glm	rej	100000	2	1378736865
bernoulli_glm	rej_ra	100000	2	221108698
bernoulli_glm	smc	100000	2	213312291
bernoulli_glm	smc_ra	100000	2	626109430
bernoulli_glm	rej	100000	3	723261562
bernoulli_glm	rej_ra	100000	3	119110273
bernoulli_glm	smc	100000	3	904318008
bernoulli_glm	smc_ra	100000	3	1475888997
bernoulli_glm	rej	100000	4	249434806
bernoulli_glm	rej_ra	100000	4	1091806639
bernoulli_glm	smc	100000	4	68378360
bernoulli_glm	smc_ra	100000	4	1496807371
bernoulli_glm	rej	100000	5	1852563621
bernoulli_glm	rej_ra	100000	5	989808214
bernoulli_glm	smc	100000	5	33620067
bernoulli_glm	smc_ra	100000	5	379177074
bernoulli_glm	rej	100000	6	970193918
bernoulli_glm	rej_ra	100000	6	762678910
bernoulli_glm	smc	100000	6	939076301
bernoulli_glm	smc_ra	100000	6	1351873440
bernoulli_glm	rej	100000	7	1997497552
bernoulli_glm	rej_ra	100000	7	844874283
bernoulli_glm	smc	100000	7	1821446004
bernoulli_glm	smc_ra	100000	7	1249875015
bernoulli_glm	rej	100000	8	99495977
bernoulli_glm	rej_ra	100000	8	1257124144
bernoulli_glm	smc	100000	8	280552423
bernoulli_glm	smc_ra	100000	8	852123412
bernoulli_glm	rej	100000	9	1126799611
bernoulli_glm	rej_ra	100000	9	1715572224
bernoulli_glm	smc	100000	9	1307856057
bernoulli_glm	smc_ra	100000	9	1104941084
bernoulli_glm	rej	100000	10	1228798036
bernoulli_glm	rej_ra	100000	10	1402058075
bernoulli_glm	smc	100000	10	1409854482
bernoulli_glm	smc_ra	100000	10	997057343
bernoulli_glm_raw	rej	1000	1	628389438
bernoulli_glm_raw	rej_ra	1000	1	210513816
bernoulli_glm_raw	smc	1000	1	185378774
bernoulli_glm_raw	smc_ra	1000	1	1844503616
bernoulli_glm_raw	rej	1000	2	1473608989
bernoulli_glm_raw	rej_ra	1000	2	312512241
bernoulli_glm_raw	smc	1000	2	1567108350
bernoulli_glm_raw	smc_ra	1000	2	1946502041
bernoulli_glm_raw	rej	1000	3	483455507
bernoulli_glm_raw	rej_ra	1000	3	1295040952
bernoulli_glm_raw	smc	1000	3	1669106775
bernoulli_glm_raw	smc_ra	1000	3	10562455
bernoulli_glm_raw	rej	1000	4	381457082
bernoulli_glm_raw	rej_ra	1000	4	1441814300
bernoulli_glm_raw	smc	1000	4	696410409
bernoulli_glm_raw	smc_ra	1000	4	91435972
bernoulli_glm_raw	rej	1000	5	1720541345
bernoulli_glm_raw	rej_ra	1000	5	1150107021
bernoulli_glm_raw	smc	1000	5	911142784
bernoulli_glm_raw	smc_ra	1000	5	1516117221
bernoulli_glm_raw	rej	1000	6	1252155023
bernoulli_glm_raw	rej_ra	1000	6	1586748231
bernoulli_glm_raw	smc	1000	6	809144359
bernoulli_glm_raw	smc_ra	1000	6	1220738031
bernoulli_glm_raw	rej	1000	7	1865475276
bernoulli_glm_raw	rej_ra	1000	7	20804962
bernoulli_glm_raw	smc	1000	7	943342765
bernoulli_glm_raw	smc_ra	1000	7	386815162
bernoulli_glm_raw	rej	1000	8	1107221092
bernoulli_glm_raw	rej_ra	1000	8	716050290
bernoulli_glm_raw	smc	1000	8	664210428
bernoulli_glm_raw	smc_ra	1000	8	1365671962
bernoulli_glm_raw	rej	1000	9	994777335
bernoulli_glm_raw	rej_ra	1000	9	1875871031
bernoulli_glm_raw	smc	1000	9	72644824
bernoulli_glm_raw	smc_ra	1000	9	1467670387
bernoulli_glm_raw	rej	1000	10	612775858
bernoulli_glm_raw	rej_ra	1000	10	1773872606
bernoulli_glm_raw	smc	1000	10	1534908369
bernoulli_glm_raw	smc_ra	1000	10	139882806
bernoulli_glm_raw	rej	10000	1	1209345485
bernoulli_glm_raw	rej_ra	10000	1	1106339722
bernoulli_glm_raw	smc	10000	1	1676344708
bernoulli_glm_raw	smc_ra	10000	1	247915697
bernoulli_glm_raw	rej	10000	2	1527509767
bernoulli_glm_raw	rej_ra	10000	2	646147402
bernoulli_glm_raw	smc	10000	2	1778343133
bernoulli_glm_raw	smc_ra	10000	2	1709148799
bernoulli_glm_raw	rej	10000	3	80043426
bernoulli_glm_raw	rej_ra	10000	3	961405791
bernoulli_glm_raw	smc	10000	3	805646767
bernoulli_glm_raw	smc_ra	10000	3	1607150374
bernoulli_glm_raw	rej	10000	4	1978045001
bernoulli_glm_raw	rej_ra	10000	4	1775449461
bernoulli_glm_raw	smc	10000	4	1923277064
bernoulli_glm_raw	smc_ra	10000	4	494848053
bernoulli_glm_raw	rej	10000	5	950741367
bernoulli_glm_raw	rej_ra	10000	5	1832103732
bernoulli_glm_raw	smc	10000	5	950580698
bernoulli_glm_raw	smc_ra	10000	5	477848315
bernoulli_glm_raw	rej	10000	6	1833111070
bernoulli_glm_raw	rej_ra	10000	6	714473435
bernoulli_glm_raw	smc	10000	6	1052579123
bernoulli_glm_raw	smc_ra	10000	6	639781984
bernoulli_glm_raw	rej	10000	7	805807436
bernoulli_glm_raw	rej_ra	10000	7	22381817
bernoulli_glm_raw	smc	10000	7	79882757
bernoulli_glm_raw	smc_ra	10000	7	332914384
bernoulli_glm_raw	rej	10000	8	703809011
bernoulli_glm_raw	rej_ra	10000	8	1585171376
bernoulli_glm_raw	smc	10000	8	1197513054
bernoulli_glm_raw	smc_ra	10000	8	1769084043
bernoulli_glm_raw	rej	10000	9	1676505377
bernoulli_glm_raw	rej_ra	10000	9	557867742
bernoulli_glm_raw	smc	10000	9	410040139
bernoulli_glm_raw	smc_ra	10000	9	1203612325
bernoulli_glm_raw	rej	10000	10	558875080
bernoulli_glm_raw	rej_ra	10000	10	1440237445
bernoulli_glm_raw	smc	10000	10	326815113
bernoulli_glm_raw	smc_ra	10000	10	1914017974
bernoulli_glm_raw	rej	100000	1	1162006319
bernoulli_glm_raw	rej_ra	100000	1	1708642047
bernoulli_glm_raw	smc	100000	1	1605016983
bernoulli_glm_raw	smc_ra	100000	1	1827076669
bernoulli_glm_raw	rej	100000	2	445546874
bernoulli_glm_raw	rej_ra	100000	2	1606643622
bernoulli_glm_raw	smc	100000	2	1367679385
bernoulli_glm_raw	smc_ra	100000	2	1780476524
bernoulli_glm_raw	rej	100000	3	1306940250
bernoulli_glm_raw	rej_ra	100000	3	579339988
bernoulli_glm_raw	smc	100000	3	250049088
bernoulli_glm_raw	smc_ra	100000	3	1678478099
bernoulli_glm_raw	rej	100000	4	1408938675
bernoulli_glm_raw	rej_ra	100000	4	477341563
bernoulli_glm_raw	smc	100000	4	1222745454
bernoulli_glm_raw	smc_ra	100000	4	651174465
bernoulli_glm_raw	rej	100000	5	436242309
bernoulli_glm_raw	rej_ra	100000	5	640288736
bernoulli_glm_raw	smc	100000	5	879252973
bernoulli_glm_raw	smc_ra	100000	5	1533544168
bernoulli_glm_raw	rej	100000	6	538240734
bernoulli_glm_raw	rej_ra	100000	6	332407632
bernoulli_glm_raw	smc	100000	6	93443395
bernoulli_glm_raw	smc_ra	100000	6	506240534
